ingredient,query,title,url,domain,year_detected,score,snippet,reasons
silver,"""silver"" toxicity cosmetic regulation EU restriction",Silver in Cosmetics: SCCS preliminary opinion. – CRITICAL CATALYST,https://criticalcatalyst.com/silver-in-cosmetics-sccs-preliminary-opinion/,criticalcatalyst.com,2023,23,"According to the Cosmetics Regulation Article 15,substances classified as Category 2 CMR (Carcinogenic, Mutagenic, or Reprotoxic) are generally prohibited in cosmetics unless deemed safe by the Scientific Committee on Consumer Safety (SCCS).In October 2023, a dossier was submitted advocating ...",source non prioritaire mais acceptée (+1) : criticalcatalyst.com | mots-clés détectés (9) | récent (+2) : 2023
silver,"""silver"" ban restriction cosmetic Europe",EU to Ban 15 CMR Substances in Cosmetics Starting May 2026 | ChemLinked,https://cosmetic.chemlinked.com/news/cosmetic-news/eu-to-ban-15-cmr-substances-in-cosmetics-starting-may-2026,cosmetic.chemlinked.com,2026,20,"January 14, 2026 -The amendments introduce 15 newly prohibited ingredients,impose new restrictions on Hexyl Salicylate and Silver, and modify the conditions for using Silver as a colorant and o-Phenylphenol as a preservative.",source non prioritaire mais acceptée (+1) : cosmetic.chemlinked.com | mots-clés détectés (6) | très récent (+3) : 2026
silver,"""silver"" SCCS cosmetic safety opinion EU",SCCS/1665/24 Final version Scientific Committee on Consumer Safety SCCS,https://health.ec.europa.eu/document/download/4df13eb8-43cd-4cf5-9b50-3e9885cb5a06_en?filename=sccs_o_288.pdf,health.ec.europa.eu,,19,"SCCS andfound safe for use in cosmetic products. In view of these provisions, regulatory · measures must be adopted by the Commission services within 15 months of the classification · as CMR 1A or 1B of the substance(s) concerned in Part 3 of Annex VI to Regulation (EC) No ...",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (8) | date non trouvée (+0)
silver,"""silver"" toxicity cosmetic regulation EU restriction",EU Ban on Metallic Silver in Cosmetics: What Formulators Need to Know - GreenChem Finder,https://greenchemfinder.com/2025/11/18/silver-regulatory-update-for-cosmetics/,greenchemfinder.com,2025,18,"December 22, 2025 -Under the draft Omnibus Act VIII,silver powder with particle sizes between 100 nanometers and 1 millimeter will be added to Annex III as a restricted substance, not a completely banned substance. According to the SCCS Opinion (SCCS/1665/24) issued in June 2024, micron-sized particulate silver ...",source non prioritaire mais acceptée (+1) : greenchemfinder.com | mots-clés détectés (5) | très récent (+3) : 2025
silver,"""silver"" toxicity cosmetic regulation EU restriction",SCCS Preliminary Opinion on the safety of Silver used in cosmetic products – CRITICAL CATALYST,https://criticalcatalyst.com/sccs-preliminary-opinion-on-the-safety-of-silver-used-in-cosmetic-products/,criticalcatalyst.com,2023,17,"The European Risk Assessment Committee (RAC) of the European Chemicals Agency (ECHA) issued in February 2023 an opinion recommending among others a ‘Toxic for Reproduction Category 2’ classification for Silver. Following the RAC opinion, the European Commission may propose a classification ...",source non prioritaire mais acceptée (+1) : criticalcatalyst.com | mots-clés détectés (7) | récent (+2) : 2023
silver,"""silver"" ban restriction cosmetic Europe",10 Restricted Ingredients Under EU Cosmetic Regulation - Allan Chemical Corporation | allanchem.com,https://allanchem.com/restricted-ingredients-eu-cosmetic-regulation/,allanchem.com,2025,17,"December 7, 2025 -The 2024 update specifically targets ...Prohibited materials now include colloidal silver (nano), colloidal gold (nano), copper (nano), colloidal copper (nano), gold (nano), platinum (nano), and related complexes...",source non prioritaire mais acceptée (+1) : allanchem.com | mots-clés détectés (5) | très récent (+3) : 2025
silver,"""silver"" ban restriction cosmetic Europe",VeilleNanos - Twelve nanomaterials banned and one restricted in European cosmetics,https://veillenanos.fr/en/twelve-nanomaterials-banned-and-one-restricted-in-european-cosmetics/,veillenanos.fr,2024,16,"March 19, 2024 -European regulation 2024/858 has ... Itbans the use of 12 nanomaterials (styrene acrylate copolymer, copper, silver, gold and platinum) and restricts the use of one nanomaterial (hydroxyapatite) in cosmetics.....",source non prioritaire mais acceptée (+1) : veillenanos.fr | mots-clés détectés (5) | récent (+2) : 2024
silver,"""silver"" toxicity cosmetic regulation EU restriction","New regulations for silver, hexyl salicylate, and o-phenylphenol – Safety Assessment",https://www.cosmeticscare.eu/en/new-regulations-for-silver-hexyl-salicylate-and-o-phenylphenol/,cosmeticscare.eu,2026,15,"January 18, 2026 -This substance, with a particle diameter of: 1)equal to or larger than 1 mm (silver massive), 2) larger than 100 nm and smaller than 1 mm (silver powder), 3) larger than 1 nm and smaller than or equal to 100 nm (silver nano)has been finally classified as a CMR category 2 (reproductive toxicity).",source non prioritaire mais acceptée (+1) : cosmeticscare.eu | mots-clés détectés (6) | très récent (+3) : 2026
silver,"""silver"" SCCS cosmetic safety opinion EU",SCCS - Opinions - Public Health - European Commission,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,health.ec.europa.eu,2024,15,"Scientific Advice on the safety of Thiomersal (CAS No. 54-64-8, EC No. 200-210-4) and Phenylmercuric salts as preservatives in cosmetic products ... Butylparaben (CAS No. 94-26-8, EC No. 202-318-7) - Children's exposure ... Biphenyl-2-ol and Sodium 2-biphenylolate used in cosmetic products (CAS/EC No. 90-43-7/201-993-5 and 132-27-4/205-055-6) ... Silver Zinc Zeolite (CAS No. 130328-20- 0, EC No. 603-404-0) ... Methylparaben (CAS No. 99-76-3, EC No. 202-785-7) SCCS/1652/23 - 14 December 2023 A corrigendum clarifying SCCS conclusion under question 1 was adopted by written procedure on 28 February 2024.",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (5) | récent (+2) : 2024
silver,"""silver"" ban restriction cosmetic Europe",EU New Banned Cosmetic Ingredients in 2025 | Cosmeservice,https://cosmeservice.com/news/eu-cosmetics-update-new-bans-and-restrictions-on-fragrance-allergens-hair-dyes-and-preservatives/,cosmeservice.com,2025,15,"September 5, 2025 -Hydroxypropyl-p-phenylenediamine and its dihydrochloride salt→ new restrictions. Ammonium Silver Zinc Aluminum Silicate → authorized as a preservative.",source non prioritaire mais acceptée (+1) : cosmeservice.com | mots-clés détectés (4) | très récent (+3) : 2025
